Smith, Hannah	45467	11236	27200	11234	40116
Johnson, Christopher	40117	40114	49835	36380	43031
Williams, Rachel	11231	11222	11222	33092	40114
Garcia, Juan	10931	11217	11217	45469	27201
Brown, Jasmine	40115	45469	40115	33095	11222
Davis, Alexander	49833	36375	40121	33081	40118
Martinez, Sofia	27200	33081	49836	43030	45468
Rodriguez, Miguel	33077	33094	33074	33092	21114
Miller, Amanda	10931	49836	49834	43030	33081
Hernandez, Maria	49835	10931	11237	40114	21114
Lopez, Anthony	49836	11231	27200	49835	10916
Gonzalez, Carlos	40114	36375	49837	43031	45469
Perez, Stephanie	11236	36380	11231	36376	33074
Torres, Emily	49833	11234	33095	45467	40121
Adams, Jonathan	45468	43031	49835	11234	33079
Wilson, Brandon	43031	36380	33092	43030	33074
Anderson, Amber	36374	40118	11234	43030	43031
Cruz, Luis	40117	36380	49833	33079	49833
Perez, Ana	36380	49838	11236	36373	10931
Baker, Jessica	49835	43031	45468	33092	36375
Carter, Tyler	40118	33091	33079	11234	10916
Perez, Maria	36375	11222	36373	10931	49839
Wright, Ashley	27200	40121	21114	11236	11236
Green, Jasmine	36380	11231	40118	40115	49835
Hill, Michael	10931	33091	49834	36376	40116
Martinez, Alejandro	33081	33079	36376	40115	40118
Lee, Esther	36376	33081	28460	49833	33081
King, Christopher	27200	28460	43031	33094	33074
Ortiz, Sofia	33091	33079	33074	36376	40113
Ramirez, Juan	49838	21114	40115	45467	11237
James, Lauren	40113	40118	40117	36373	43030
Turner, Samuel	40121	43030	49839	40114	49837
Collins, Crystal	27200	28460	40114	33095	49834
Bailey, Michael	33091	40117	49838	49839	10916
Evans, Natalie	11231	36373	49838	45467	49836
Reed, Kyle	40114	40116	33095	40113	40121
Adams, Jasmine	45469	43031	11237	33079	49834
Phillips, Justin	11237	36376	11217	10931	49834
Sanchez, Maria	33077	28460	40117	49833	10931
Price, Tyler	36376	49834	45468	36380	40116
Lewis, Hannah	49837	40113	33094	40113	33074
Cooper, Anthony	27200	45467	33094	36373	33077
Ortiz, Carlos	36376	49833	11222	36376	49838
Powell, Amber	49836	36380	43030	36373	11236
Cox, Jordan	43030	43031	45469	49835	43031
Kelly, Christopher	36374	11222	49833	36380	45467
Wood, David	49837	28460	21114	49836	33094
Sanders, Alexis	40118	49834	10931	49836	49835
Ross, Tyler	43031	10916	33081	11231	40121
Sanchez, Carlos	11234	49834	40121	43031	11236
Long, Brittany	36374	36380	33092	49839	33079
Kim, Minho	49835	10916	40114	40121	33081
Parker, Rachel	40118	11237	40121	11236	33094
Torres, Juan	33095	49834	40117	40118	33094
Washington, Ashley	33079	33079	33095	33081	45467
Phillips, Ashley	33074	33095	33095	10916	49836
Allen, Michael	40114	11217	36375	40121	40113
Baker, Amber	11217	33081	45469	40121	11231
Martin, Christopher	11236	40118	49833	43030	33092
Carter, Ashley	45468	33092	49839	28460	33092
Evans, Jonathan	40116	11237	40114	36375	10916
Rodriguez, Jose	45467	36373	33077	49839	43031
Perry, Jasmine	49839	40114	27200	40117	49838
Peterson, Tyler	10916	40117	40121	36380	49839
Campbell, Jasmine	40117	40121	33079	33094	36374
Gonzalez, Juan	40117	49834	40117	43030	33092
Henderson, Christopher	40114	49834	40115	27200	40118
Diaz, Carlos	11236	40117	36375	27200	36380
Scott, Rachel	33091	11234	27200	40115	27201
Garcia, Maria	40116	40115	33081	40115	49833
Flores, Miguel	49833	11231	43031	40113	28460
